
"Overnight Oats (1 mashed banana, 2 tablespoons chia seeds, 1/2 cup oats, 1 cup almond milk)", "1 cup baby carrots, 1 cup cauliflower pieces, 2 tablespoons ranch dressing", "Large garden salad (3 cups mixed greens with 1 cup cherry tomatoes, 1/4 avocado, topped with balsamic vinaigrette)", "One fresh pear", "1 serving Chicken & Cucumber Lettuce Wraps with Peanut Sauce"


,,
Breakfast5,391,1 whole-wheat English muffin with 2 tablespoons peanut butter
,,1 orange
,,
Breakfast6,431,"Overnight Oats (one mashed banana, 2 tablespoons chia seeds, 1/2 cup oats, 1 cup almond milk, 1 teaspoon cinnamon)"
,,
Breakfast7,454,2 slices 100% whole wheat toast with 2 tablespoons peanut butter
,,1 banana
,,
Breakfast8,441,1 whole wheat bagel
,,3 tablespoons cream cheese
,,
Breakfast9,323,1 container of 2% Greek yogurt
,,1 banana
,,1 hard-boiled egg
,,
Breakfast10,439,1 cup cooked oatmeal
,,1/2 cup blueberries
,,1/2 cup non-fat milk
,,2 tablespoons almond butter
,,
AMSnack1,35,1 clementine
,,
AMSnack2,192,1 oz. Cheddar cheese
,,1 hard-boiled egg
,,
AMSnack3,70,2 clementines
,,
AMSnack4,95,1/2 apple
,,
AMSnack5,324,One banana
,,1 cup plain yogurt with 1 tablespoon honey
,,
AMSnack6,188,One container 2% plain Greek yogurt with 1/2 cup blueberries
,,
AMSnack7,271,One fresh pear
,,1 ounce (22) almonds
,,
AMSnack8,290,1 cup grapes
,,1 ounce (14) walnuts
,,
AMSnack9,191,1 cup baby carrots
,,1 cup cauliflower pieces
,,2 tablespoons ranch dressing
,,
AMSnack10,305,10 whole wheat pretzel twists
,,3 tablespoons hummus
,,
Lunch1,325,1 serving Veggie & Hummus Sandwich
,,
Lunch2,344,1 serving Chipotle-Lime Cauliflower Taco Bowls
,,
Lunch3,345,1 serving Curried Sweet Potato & Peanut Soup
,,
Lunch4,350,6 ounces grilled chicken breast
,,
Lunch5,396,"Large garden salad (3 cups mixed greens with 1 cup cherry tomatoes, 1/4 avocado, topped with balsamic vinaigrette)"
,,
Lunch6,398,"Turkey sandwich (turkey breast, tomato slice, green lettuce, 1/4 avocado, and honey mustard on 2 slices of  bread)"
,,
Lunch7,408,One fried egg
,,One slice whole wheat bread
,,"1/2 avocado, mashed"
,,1 medium apple
,,
Lunch8,496,"Tuna wrap with 1 wheat flour tortilla, 1/2 can water-packed tuna, mayonnaise, lettuce, and sliced tomato"
,,1/2 sliced avocado
,,
Lunch9,573,Veggie burger
,,Whole grain bun
,,One slice cheddar cheese
,,One sliced apple
,,
Lunch10,531,One whole wheat tortilla
,,4 ounces turkey
,,One slice cheddar cheese
,,1 cup mixed greens
,,1 tablespoon honey mustard
,,
PMSnack1,105,1/2 Banana
,,
PMSnack2,35,1 clementine
,,
PMSnack3,32,1/2 cup raspberries
,,
PMSnack4,77,1 hard-boiled egg
,,
PMSnack5,220,1 cup raspberries
,,1 oz. dark chocolate
,,
PMSnack6,153,1/2 ounce (11) almonds
,,One fresh peach
,,
PMSnack7,168,1 cup raw broccoli florets
,,1 cup baby carrots
,,3 tablespoons hummus
,,
PMSnack8,201,One medium chocolate chip cookie
,,1 cup sliced strawberries
,,
PMSnack9,293,One banana
,,2 tablespoons peanut butter
,,
PMSnack10,205,1 cup cottage cheese (1% fat)
,,1/2 cup blueberries
,,
PMSnack,100,1 cup (about 30) grapes
,,
PMSnack,302,Two pitted Medjool dates
,,1 ounce 70% dark chocolate
,,
Dinner1,468,1 serving Sheet-Pan Chicken Fajita Bowls with 1/2 cup cooked brown rice
,,
Dinner2,373,1 serving Zucchini-Chickpea Veggie Burgers with Tahini-Ranch Sauce
,,
Dinner3,401,1 serving Easy Salmon Cakes over 2 cups baby spinach
,,
Dinner4,521,1 serving Chicken & Cucumber Lettuce Wraps with Peanut Sauce
,,
Dinner5,454,1 serving Spinach Ravioli with Artichokes & Olives
,,
Dinner6,399,1 cup steamed broccoli
,,1 cup of brown rice
,,Halibut (4-ounce portion)
,,
Dinner7,612,5-ounce sirloin steak
,,One roasted sweet potato
,,1 cup cooked spinach (made with 2 teaspoons olive oil)
,,1 cup green beans
,,
Dinner8,531,One whole wheat english muffin
,,"One slice tomato, two leaves lettuce, one slice onion"
,,5-ounce turkey burger
,,2 tablespoons ketchup
,,
Dinner9,472,1 1/2 cups whole wheat pasta
,,1 cup tomato sauce
,,Small garden salad (1 cup mixed greens with 1 half cup cherry tomatoes topped with  balsamic vinaigrette)
,,
Dinner10,573,Veggie burger
,,Whole grain bun
,,One slice cheddar cheese
,,One sliced apple
